Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),temp (°C)
1012,1629406011342,154.0
1013,1629406011542,154.5
1014,1629406011743,154.5
1015,1629406011944,154.5
1016,1629406012145,154.75
1017,1629406012345,154.5
1018,1629406012546,155.25
1019,1629406012746,154.5
1020,1629406012946,155.75
1021,1629406013148,155.5
1022,1629406013348,156.0
1023,1629406013550,156.25
1024,1629406013751,156.0
1025,1629406013951,156.75
1026,1629406014151,157.0
1027,1629406014353,157.0
1028,1629406014552,157.5
1029,1629406014753,157.0
1030,1629406014954,157.25
1031,1629406015156,157.5
1032,1629406015356,158.0
1033,1629406015556,158.5
1034,1629406015757,158.5
1035,1629406015957,158.75
1036,1629406016158,159.0
1037,1629406016359,159.0
1038,1629406016560,159.5
1039,1629406016760,159.75
1040,1629406016965,160.0
1041,1629406017166,159.5
1042,1629406017368,159.75
1043,1629406017568,160.5
1044,1629406017769,160.25
1045,1629406017969,160.75
1046,1629406018171,161.0
1047,1629406018371,161.0
1048,1629406018570,161.25
1049,1629406018772,161.75
1050,1629406018973,161.75
1051,1629406019174,162.25
1052,1629406019374,162.25
1053,1629406019575,162.75
1054,1629406019777,162.25
1055,1629406019977,163.0
1056,1629406020176,163.25
1057,1629406020378,163.5
1058,1629406020579,163.25
1059,1629406020779,163.5
1060,1629406020980,163.75
1061,1629406021180,164.5
1062,1629406021381,163.75
1063,1629406021582,164.5
1064,1629406021782,164.75
1065,1629406021984,165.0
1066,1629406022185,164.75
1067,1629406022385,165.5
1068,1629406022587,165.75
1069,1629406022786,165.25
1070,1629406022986,165.75
1071,1629406023188,166.0
1072,1629406023389,166.25
1073,1629406023588,166.5
1074,1629406023789,167.0
1075,1629406023991,167.0
1076,1629406024193,167.0
1077,1629406024392,167.5
1078,1629406024592,167.25
1079,1629406024793,167.25
1080,1629406024994,167.75
1081,1629406025196,168.25
1082,1629406025397,168.5
1083,1629406025596,168.75
1084,1629406025798,169.0
1085,1629406025997,169.0
1086,1629406026199,169.25
1087,1629406026400,169.5
1088,1629406026599,169.5
1089,1629406026800,169.75
1090,1629406027001,169.25
1091,1629406027202,170.25
1092,1629406027403,170.5
1093,1629406027604,170.5
1094,1629406027805,170.75
1095,1629406028006,171.0
1096,1629406028206,170.5
1097,1629406028406,171.0
1098,1629406028609,171.5
1099,1629406028808,171.5
1100,1629406029013,171.75
1101,1629406029214,172.25
1102,1629406029416,172.25
1103,1629406029615,172.5
1104,1629406029815,172.5
1105,1629406030016,173.0
1106,1629406030217,172.5
1107,1629406030417,173.0
1108,1629406030618,173.5
1109,1629406030818,173.5
1110,1629406031021,174.0
1111,1629406031220,173.75
1112,1629406031422,173.75
1113,1629406031621,174.25
1114,1629406031822,173.75
1115,1629406032023,174.75
1116,1629406032224,174.5
1117,1629406032426,175.0
1118,1629406032626,174.75
1119,1629406032826,175.25
1120,1629406033027,175.0
1121,1629406033229,175.5
1122,1629406033428,175.75
1123,1629406033630,176.0
1124,1629406033829,176.25
1125,1629406034030,176.5
1126,1629406034232,176.5
1127,1629406034432,176.5
1128,1629406034632,176.5
1129,1629406034833,176.25
1130,1629406035034,176.75
1131,1629406035235,177.25
1132,1629406035435,177.5
1133,1629406035636,178.0
1134,1629406035837,177.5
1135,1629406036038,178.0
